disease,text,risk_level
folate deficiency,I felt sharp chest pain and couldn't catch my breath; it scared me.,Emergency
alcoholic liver disease,I've been feeling sharp abdominal pain lately after drinking.,Low
poisoning due to antidepressants,I find myself turning to alcohol more since I started my antidepressants.,Low
injury to the face,I’ve been dealing with persistent facial pain since my injury last week.,Medium
asperger syndrome,I can’t handle the anxiety anymore; it’s ruining my daily life.,Emergency
hydrocele of the testicle,There's a visible mass in my scrotum that I can't stop worrying about.,Medium
stress incontinence,I’ve had moments of involuntary urination that leave me feeling humiliated.,Low
ovarian cyst,Why isn't anyone taking my sharp abdominal pain seriously? I'm tired of feeling dismissed.,Medium
scurvy,"I’ve been feeling sharp pains in my stomach lately, and I'm worried it might be scurvy-related.",Low
open wound of the cheek,"Every time I smile, my cheek wound reminds me of my pain.",Low
cranial nerve palsy,I often feel self-conscious because of my facial symptoms in public settings.,Medium
down syndrome,"His refusal to eat has me worried; it’s not just a phase, is it?",Emergency
social phobia,My anxiety sometimes makes me hallucinate the worst outcomes in social settings.,Medium
heart block,I'm experiencing severe palpitations; it feels like my heart is racing out of control.,Emergency
osteomyelitis,I can’t lift my arm without feeling sharp pain.,Low
overflow incontinence,The suprapubic pain I experience makes it hard to concentrate.,Low
intestinal obstruction,"I’ve been feeling nauseous and bloated for days, and it's driving me crazy.",Medium
bone cancer,I can’t believe how much my leg pain is affecting my daily life.,Low
urge incontinence,"Blood in my urine has me worried, and I don’t know what to do next.",Medium
hypothermia,"It was like I was in a fog, unable to think clearly after that long exposure to cold.",High
tension headache,The combination of dizziness and a tension headache is ruining my day.,Medium
high blood pressure,"I worry about my high blood pressure, especially with this persistent chest pain.",High
encephalitis,I keep losing my sense of touch; it’s such a strange and frightening feeling.,Low
temporary or benign blood in urine,Why am I experiencing nasty regurgitation alongside blood in my urine? It’s confusing.,Medium
presbyacusis,The emotional toll of diminished hearing is really starting to weigh on me.,Low
seasonal allergies (hay fever),My throat is sore from all the postnasal drip this season.,Medium
diabetic kidney disease,"With my diabetic kidney disease, I never expected to face these new challenges.",Low
aplastic anemia,I keep slurring my words; it’s embarrassing and makes me self-conscious.,Low
venous insufficiency,I can't believe how swollen my feet have become; it's so uncomfortable.,Emergency
toxic multinodular goiter,Why do I have these sudden involuntary urination episodes? It’s so embarrassing!,Low
kidney cancer,The blood in my urine is alarming; why isn't anyone taking action?,Low
common cold,The congestion makes it hard to breathe; I feel so overwhelmed.,Medium
idiopathic absence of menstruation,It's hard to cope with the sharp pain and the absence of my cycle.,Medium
hemochromatosis,Having trouble speaking clearly has really impacted my social interactions.,Low
stenosis of the tear duct,It’s hard to enjoy activities when my eyes are always watery and red.,Low
urethral valves,"Sometimes, my lower abdominal pain feels unbearable after meals.",Low
open wound of the lip,It hurts to talk because of the swelling on my lip.,Low
drug abuse (barbiturates),There's a persistent feeling of sadness that won't go away since I started.,Low
shingles (herpes zoster),I never expected shingles would cause such intense back pain; it's debilitating.,Emergency
hypoglycemia,I felt so weak during my workout that I had to sit down.,Emergency
pituitary adenoma,This constant pain in my eye is becoming unbearable.,Low
retinopathy due to high blood pressure,"It feels like there's something stuck in my eye, causing me discomfort.",Low
drug abuse (opioids),"The depression hits me hard, and I feel like I’m in a dark hole.",Medium
scleroderma,I struggle daily with the unpredictability of my skin symptoms.,Medium
chronic kidney disease,I can’t cope with the constant feeling of heaviness in my legs; it's too much.,Emergency
pulmonary eosinophilia,I feel like I’m suffocating; the tightness in my chest makes it hard to function.,Emergency
drug poisoning due to medication,"I’ve started drinking more alcohol, which is concerning me after this prescription.",Low
trichomonas infection,The unpredictable menstruation has me feeling completely out of control.,Medium
blepharospasm,It’s hard to drive when my eyelids are constantly spasming and affecting my vision.,Low
gout,The swelling in my ankle makes it hard to even walk around my house.,Medium
kidney disease due to longstanding hypertension,I struggle to find words mid-sentence; it’s incredibly frustrating.,High
cryptococcosis,"The depressive moods come and go, but the cross-eyed feeling seems constant.",Low
syringomyelia,I feel trapped in my own body with this constant back pain.,High
urinary tract obstruction,"The frequent urination is exhausting, especially when I'm trying to sleep.",Medium
poisoning due to antimicrobial drugs,"I can't keep my balance, and my legs feel heavy; the medication is affecting my movement so badly.",Emergency
fracture of the foot,Why does my ankle feel so stiff after that minor fall?,Low
fracture of the hand,My arm feels sore and stiff; is this normal after a hand injury?,Medium
salivary gland disorder,I didn’t expect a sore throat to linger this long; it’s frustrating.,Low
metabolic disorder,"I’ve been experiencing tightness in my arms, and it’s limiting what I can do.",Low
foreign body in the eye,"Every time I blink, there's this intense itchiness in my eye.",Medium
chronic back pain,My hips ache so much that even walking a short distance is agony.,Medium
sinus bradycardia,I’m scared about this dizziness; I feel like I might collapse.,Emergency
toxoplasmosis,Is it normal to feel so overwhelmed by anxiety while dealing with toxoplasmosis symptoms?,Low
open wound of the cheek,I’m worried my cheek wound won't heal properly with all this facial pain.,Low
hypocalcemia,The combination of weakness and chest pain is making me frantic.,Emergency
vasculitis,I can't focus on anything with this constant headache lingering.,Medium
epidural hemorrhage,I just want my normal mood back; this is exhausting.,Low
stress incontinence,It’s so annoying to rush to the bathroom only to find I still have trouble urinating.,Low
flat feet,"Every time I try to walk for exercise, I end up with foot pain from my flat feet.",Low
common cold,The chills keep coming and going; I can't get comfortable at all.,Medium
fracture of the hand,It's disheartening to feel like my hand isn't healing correctly with all this pain.,Medium
attention deficit hyperactivity disorder (adhd),My inability to concentrate often leads to feelings of deep sadness.,Medium
anemia due to chronic kidney disease,I never thought I'd struggle to breathe just talking to my doctor.,Emergency
open wound of the jaw,I can barely talk because my lip is swollen from the jaw wound.,Low
fracture of the hand,I’m worried that this ongoing discomfort means my hand isn’t healing properly.,Medium
onychomycosis,"I’m concerned because my skin is peeling, and it looks really unhealthy.",Medium
avascular necrosis,"I’m worried my knee pain might be getting worse, and it's so frustrating.",Low
lymphoma,Feeling tired all the time makes me paranoid about lymphoma lurking in the background.,Low
aspergillosis,The knee lump that appeared suddenly has me really worried about aspergillosis.,High
hydrocele of the testicle,Every movement seems to make the pain in my testicles worse.,Medium
astigmatism,Trying to drive with diminished vision is proving to be a challenge.,Medium
acute bronchospasm,"The wheezing keeps getting worse, and I’m really scared right now.",Emergency
acariasis,I just want to enjoy life without this constant irritation and swelling.,Low
interstitial lung disease,"I can barely breathe, and my fever is not going down; please help!",Emergency
gastroesophageal reflux disease (gerd),I’m so nauseous from this GERD that I can’t even think straight.,Emergency
chronic kidney disease,Shortness of breath during simple tasks is frightening; I need help now.,Emergency
obesity,"Every time I eat, I end up feeling so lethargic and sleepy afterward.",Low
fungal infection of the skin,I can't believe how much my hair has thinned—it might be related to my skin condition.,Medium
subarachnoid hemorrhage,"I feel tingling in my arm, and it worries me that it could be something serious.",Emergency
skin pigmentation disorder,"I’m dealing with intense itching of skin around my elbows, and it’s driving me crazy.",Medium
injury to the leg,Walking has become a struggle because of the pain in my leg.,Medium
chronic sinusitis,"My persistent headache won't go away, and it's been weeks since I felt normal.",Medium
spondylolisthesis,I never thought I’d struggle with hip pain at such a young age.,Medium
poisoning due to opioids,I noticed I've been feeling unusually depressed since I started using this painkiller.,Low
open wound of the abdomen,This sharp abdominal pain near my wound makes it hard to sleep at night.,Low
hematoma,"I'm dealing with an ache all over, and it’s frustrating.",Low
gynecomastia,I've noticed some skin swelling on my chest that makes me really self-conscious.,Low
skin cancer,I was alarmed to find some scaliness on my forehead that never goes away.,Medium
herniated disk,I didn’t expect my hip pain to be this severe; it’s affecting my sleep.,Medium
deviated nasal septum,"Every time I lie down, my breathing gets so abnormal that I wake up gasping.",Emergency
fracture of the jaw,It’s frustrating to have pain in my eye and no clear answers.,Low
connective tissue disorder,"Every time I swallow, I get this uncomfortable feeling that just won't go away.",Low
aphthous ulcer,"My cough won’t stop, and my mouth ulcers just keep making it worse.",Medium
injury to the leg,"Every time I move my leg, I feel sharp pain that won’t go away.",Medium
decubitus ulcer,There's a sore on my bottom that seems infected; it’s really bothering me.,Low
coronary atherosclerosis,The sharp pain in my chest is too intense to ignore anymore.,Emergency
balanitis,"I’ve noticed some abnormal skin changes, and it’s really concerning.",Medium
intestinal disease,I fainted in the middle of the day after feeling burning abdominal pain; what’s happening?,Emergency
cardiomyopathy,"Every time my heart races, I feel like I'm about to pass out.",Emergency
gout,"Every time I think it's getting better, the pain in my toe returns.",Medium
intertrigo (skin condition),I’m frustrated with the rough skin around my belly; it just won’t clear up.,Low
preeclampsia,"The pain during pregnancy has become a constant issue, making me question my health.",Medium
metastatic cancer,"Vaginal dryness is a new issue for me, and it’s just adding to my stress.",Low
drug abuse (barbiturates),Using barbiturates has turned me into someone I don’t recognize anymore.,Low
vulvar disorder,Why does my vulvar area feel so irritated after using soap?,Low
hiatal hernia,The sharp chest pain makes me feel like I can't breathe properly.,Emergency
tonsillar hypertrophy,The size of my tonsils makes me feel constantly uncomfortable in my throat.,Medium
hypertrophic obstructive cardiomyopathy (hocm),"The sharp chest pain strikes without warning, and it's terrifying.",High
lichen simplex,This lichen simplex is making it hard for me to enjoy my daily activities.,Low
lactose intolerance,The flatulence from lactose isn’t just uncomfortable; it makes social situations unbearable for me.,Emergency
problem during pregnancy,"Vomiting has become a daily routine, and I'm feeling so drained.",Medium
fetal alcohol syndrome,I often worry that my anger alienates the people I care about.,Low
asthma,My chest is so tight I feel like I'm being crushed inside.,Emergency
degenerative disc disease,"Some days, the joint pain feels almost unbearable, leaving me frustrated.",Medium
obstructive sleep apnea (osa),"I feel like I'm drowning in my sleep, and it's ruining my life.",Emergency
soft tissue sarcoma,I keep having this itching sensation that drives me crazy.,Low
malignant hypertension,"The headaches have been unbearable, and I'm terrified it's more than just stress.",Emergency
strep throat,"Every time I swallow, it feels like I'm trying to gulp down glass shards.",Medium
tonsillitis,The redness in my ears is driving me crazy along with this tonsillitis.,Medium
allergy,"I've developed a skin rash that won't go away, and it’s so frustrating.",Medium
bladder obstruction,"I dread leaving the house, knowing I might have an accident from involuntary urination.",Medium
psychotic disorder,I feel overwhelmed by constant anxiety and have trouble sleeping at night.,Medium
osteochondroma,Can someone explain why I have this unexplainable skin growth? It seems to be changing color.,Low
fracture of the vertebra,The persistent neck pain is draining my energy every day.,Medium
moyamoya disease,It’s disheartening when simple things become a struggle due to elbow weakness.,Low
hydatidiform mole,The sharp pains in my abdomen feel so strange; I wish I could understand what's happening.,Low
idiopathic painful menstruation,Why is the vaginal itching worse during my menstrual cycle?,Medium
varicocele of the testicles,"I've been having consistent pain in my testicles, and it's affecting my quality of life.",Medium
ischemic heart disease,I don’t understand why my legs are so swollen; it’s painful and worrying.,Emergency
hypergammaglobulinemia,I just want to feel energetic again instead of this unending fatigue.,Low
conduct disorder,I’m terrified my son will hurt himself during one of his seizures.,Emergency
syringomyelia,I'm constantly battling intense headaches that seem never-ending.,High
schizophrenia,The hallucinations make it hard to trust my own mind; I feel lost.,Medium
bladder obstruction,My life has been turned upside down because of this bladder obstruction issue.,Medium
onychomycosis,My toenails have turned yellow and are so disfigured; it’s alarming.,Medium
myocarditis,Why do I feel so dizzy all the time? It's affecting my entire life.,High
atrial flutter,"Every time my heart races, I feel a wave of panic wash over me.",Emergency
persistent vomiting of unknown cause,Why won’t my doctor help me figure out this persistent vomiting?,Low
injury to the finger,My finger feels weirdly tight after hitting it on the door.,Low
hemolytic anemia,It's frustrating to feel fatigued when I just want to enjoy my day.,Low
atonic bladder,I can't believe how often I experience emotional ups and downs lately.,Low
hypercholesterolemia,I woke up multiple times last night due to excessive urination; I'm scared something's wrong.,Emergency
lumbago,"Every time I sit for too long, I get awful low back cramps.",Low
head injury,I've been experiencing severe dizziness since my head injury.,Emergency
corneal abrasion,The white discharge from my eye makes me feel embarrassed to go out.,Medium
vertebrobasilar insufficiency,"The sharp chest pain hits me unexpectedly, making it hard to breathe.",High
herpangina,The rash on my skin is itchy and just adds to my misery.,Medium
multiple sclerosis,The disturbance to my memory is the scariest part of living with MS.,Medium
ganglion cyst,"The mass on my finger is becoming increasingly more painful, and I’m tired of living with it.",Medium
hpv,Involuntary urination has been such a surprise; I didn't think it was HPV.,Low
seborrheic dermatitis,Why does my chin keep breaking out with those painful pimples?,Medium
marijuana abuse,"I'm constantly battling anxiety, and marijuana just makes it spiral.",Medium
drug withdrawal,"My stomach has been in knots, and the sharp abdominal pain is unbearable.",Low
floaters,Why are there so many floaters in my eye lately?,Low
open wound of the head,This open wound is so distracting; I can't think straight.,Low
turner syndrome,I can’t help but feel down on days when my emotions are all over the place.,Low
celiac disease,I ended up in the ER due to relentless vomiting after accidentally consuming gluten.,Emergency
floaters,I can’t shake the feeling that something’s in my eye.,Low
injury to the spinal cord,"My headache just won’t go away, and it's exhausting.",Low
diabetes,Why am I gaining weight when I barely eat?,Low
atonic bladder,It's frustrating to deal with impotence on top of everything else.,Low
syndrome of inappropriate secretion of adh (siadh),Being cross-eyed and dizzy makes it hard to enjoy simple things.,Low
chorioretinitis,I'm having trouble focusing because of these cloudy spots.,Low
varicocele of the testicles,The discomfort in my scrotum feels like it's getting worse; what could it be?,Medium
fracture of the foot,"The swelling in my foot makes it difficult to drive, and it’s so annoying!",Low
hydrocele of the testicle,I just want to find relief from this annoying groin pain and swelling.,Medium
skin cancer,My skin lesions have been itching and causing me a lot of anxiety.,Medium
dumping syndrome,I wish I could enjoy food again without feeling sick afterward.,Low
dementia,It hurts to see the worry in my loved ones' eyes when I forget things.,Medium
ovarian cancer,The sharp pain in my abdomen caught me off guard; I need to see a doctor.,Low
guillain barre syndrome,I've been feeling a bit dizzy lately and it's really unsettling.,Low
poisoning due to antipsychotics,I can’t tell what’s real anymore; the poison in these meds is strong.,High
bone disorder,"My knees ache after any kind of physical activity, which is frustrating.",Low
urinary tract infection,I expected a quicker resolution; the symptoms are still lingering.,Medium
von willebrand disease,The blood in my stool makes me anxious about what’s going on inside me.,Low
human immunodeficiency virus infection (hiv),"Each time I cough, the worry about HIV creeps back in and ruins my day.",Low
pleural effusion,I can’t lie down because it feels like I’m suffocating.,Emergency
sialoadenitis,"I've been struggling with a sore throat and persistent cough lately, and it's really frustrating.",Medium
pulmonary hypertension,I can't bear this sharp chest pain; it's taking over my life.,Emergency
benign kidney cyst,I just want to know why I have blood in my urine from a benign cyst.,Low
glaucoma,There’s a nagging discomfort that feels like something is always in my eye.,Medium
endometrial cancer,Hot flashes at night are robbing me of my sleep; I’m exhausted.,Low
endometriosis,I feel hopeless about the infertility because it seems like no one can help me.,Medium
headache after lumbar puncture,I'm experiencing vomiting along with the headache after the procedure.,Low
crushing injury,I wish I could bend my fingers without pain; it’s been weeks since my injury.,Low
open wound of the hand,I keep noticing that my hand is tight around the open wound.,Low
tinnitus of unknown cause,"Sometimes, my voice feels hoarse after battling with this tinnitus.",Medium
mucositis,My sore throat makes it impossible to speak sometimes.,Medium
pneumoconiosis,It’s hard to remain positive when dizziness and cough are my new normal.,High
primary immunodeficiency,The combination of fatigue and headaches is really making life challenging.,Low
genital herpes,"I thought the itching would stop, but it feels worse than ever.",Low
open wound due to trauma,"I thought the swelling would go down, but it’s getting worse.",Low
volvulus,I’ve been feeling really down since the vomiting started; it’s just so exhausting.,Low
kidney disease due to longstanding hypertension,Feeling cold all the time is a constant reminder of my kidney problems.,High
missed abortion,"The intermenstrual bleeding is alarming, especially with my recent missed abortion.",Medium
myoclonus,Every day feels like a battle against the involuntary movements that won’t stop.,High
poisoning due to antipsychotics,"After taking the antipsychotic, my anxiety skyrocketed overnight.",High
chronic back pain,I often experience side pain that feels like a tight knot in my back.,Medium
skin cancer,I've discovered some peeling skin on my back that looks strange.,Medium
normal pressure hydrocephalus,I've been feeling more isolated and depressed than before.,Low
turner syndrome,It’s hard to deal with emotional turmoil when I want to enjoy life.,Low
hirsutism,My skin feels abnormal with all this hair growth; it’s hard to accept.,Low
dislocation of the ankle,I feel so helpless with my ankle swelling like this.,Low
amyotrophic lateral sclerosis (als),I hate that my body is betraying me with these involuntary movements.,Low
bunion,"My bunion is really tender, and I'm worried it might get worse.",Low
emphysema,"I wake up coughing, and it feels like I'm fighting for my life.",Emergency
rectal disorder,I never thought I'd deal with such painful constipation and frequent heartburn at this point in life.,Medium
atonic bladder,I feel so uncomfortable with this constant retention of urine.,Low
primary insomnia,"I can't shake this nervousness, and it's making my insomnia unbearable.",Low
placenta previa,Involuntary urination during this stage feels so embarrassing.,Low
pyelonephritis,"My lower abdominal pain is constant, and I feel nauseous all day.",Medium
pulmonary fibrosis,Just walking across the room leaves me breathless and in pain.,Emergency
injury to the face,I can’t believe how stiff my neck feels after that accident.,Medium
meckel diverticulum,I’ve been dealing with this nagging lower abdominal pain for weeks now.,Low
schizophrenia,Low self-esteem has made it feel impossible to pursue my goals.,Medium
drug withdrawal,My anxiety levels are through the roof; I didn’t anticipate this.,Low
vesicoureteral reflux,I'm unsure why my child has started wetting the bed again without warning.,Low
kidney cancer,"I keep bringing up my symptoms, but they don’t seem to care.",Low
foreign body in the gastrointestinal tract,I woke up with sharp abdominal pain and I'm terrified something is stuck inside me.,Emergency
ganglion cyst,"I've had this annoying wrist swelling for weeks, and it's really affecting my daily activities.",Medium
injury to the arm,I'm having trouble lifting anything due to pain and stiffness in my arm.,Medium
pterygium,"Lately, I've been experiencing more tears than usual; it’s annoying.",Low
premature ovarian failure,Pelvic pain is ruining my daily routine and I don’t know why.,Low
envenomation from spider or animal bite,I never imagined that a spider bite would lead to such extensive skin swelling.,Medium
wilson disease,"Lately, I feel like I can't escape this overwhelming sense of fatigue.",Low
teething syndrome,It’s so frustrating when my infant has a decreased appetite because of teething pain.,Medium
substance-related mental disorder,"Sometimes I see things that aren’t there, and it scares me.",Low
pulmonary congestion,"Nasal congestion is making it hard to breathe, and my chest pain is unbearable.",Emergency
impulse control disorder,"It’s like my mind plays tricks on me, making me see things that aren't there.",Medium
diabetic ketoacidosis,I didn't realize sharp chest pain could be so serious.,Emergency
injury of the ankle,The sharp pain in my ankle makes it difficult to climb stairs.,Medium
erythema multiforme,Why is this fever lingering longer than expected?,Low
hepatitis due to a toxin,I’m scared about the rectal bleeding; it feels like something is really wrong.,Medium
bone spur of the calcaneous,I had to skip my workout because my toes felt so sore yesterday.,Low
dumping syndrome,The unpredictability of these symptoms is making me anxious about meals.,Low
pulmonic valve disease,"I can’t breathe properly, and it scares me every day.",High
meckel diverticulum,I noticed a strange lump near my knee while dealing with my diverticulum.,Low
hirschsprung disease,The way constipation affects my daily life is hard to communicate.,Low
infectious gastroenteritis,"I’m struggling with a headache that won’t go away, probably from the dehydration.",Medium
anemia due to malignancy,It’s frustrating to explain to friends why I can’t keep up with them anymore.,High
intertrigo (skin condition),I’m tired of waking up with new acne or pimples in unexpected places.,Low
dislocation of the ankle,The pain in my ankle is radiating up into my leg now.,Low
conjunctivitis,"I thought my sore throat was unrelated, but now I see it's all connected.",Medium
vulvar cancer,Why is vulvar cancer causing me so much anxiety and sleeplessness?,Low
hyperosmotic hyperketotic state,This cough is such a nuisance; I’m starting to feel fed up with it.,Low
moyamoya disease,Every day is a challenge with elbow weakness and those dark moods creeping in.,Low
primary kidney disease,Why is my body retaining so much water? It’s so irritating!,Low
pericarditis,"Something doesn’t feel right—my chest is tight, and I feel so ashamed asking for help.",Emergency
endophthalmitis,"My eye feels itchy, and I can't seem to relieve it.",Low
depression,Memory issues have become frustrating; I can’t recall simple things or conversations.,Medium
open wound of the head,The pain from this wound is making it hard to focus.,Low
gastroparesis,Why does the vomiting keep coming back? I feel like I’m in an endless cycle of misery.,Emergency
impetigo,"Each morning, I wake up with new sores in my nose from this impetigo.",Medium
cataract,"Sometimes, my eyelids seem to move abnormally, which is quite unsettling.",Medium
abscess of the pharynx,The difficulty swallowing is really alarming; I'm worried something serious is happening.,Emergency
cystitis,The sharp abdominal pain keeps me from focusing on anything else throughout my day.,Medium
open wound of the eye,I’m worried that the white discharge is a sign of an infection in my eye.,Low
joint effusion,"I experience constant pain in my elbow, and it's frustrating to deal with.",Medium
drug poisoning due to medication,The lip swelling caught me off guard; is this normal?,Low
tricuspid valve disease,"Sometimes, I can’t shake off this nervousness that seems connected to my heart condition.",Low
hyperkalemia,"I can't swallow properly, and it's making me feel even worse.",Emergency
pulmonary congestion,"My breathing is so shallow, and the tightness in my chest is alarming.",Emergency
orbital cellulitis,I have this nagging eye pain and just hope it’s nothing serious.,Low
bladder obstruction,Every visit to the bathroom feels like a battle due to my hesitancy.,Medium
nose disorder,The ear pain and nasal congestion are unbearable right now.,Emergency
kidney failure,"I felt nauseous all day and couldn't keep any food down, which worried me.",Emergency
skin cancer,The skin swelling around my eyes has me really worried about my health.,Medium
atrophic skin condition,"I’ve been experiencing an unusual amount of skin irritation lately, and it’s uncomfortable.",Medium
endometriosis,Intermenstrual bleeding has disrupted my life; I never feel like I can relax.,Medium
achalasia,The chest tightness feels like a weight pressing down on my heart.,Emergency
atelectasis,I’ve never felt this kind of chest pain before; it’s incredibly alarming.,Emergency
cryptorchidism,His symptoms of cryptorchidism make me anxious as a parent.,Low
trigger finger (finger disorder),"Every time I try to open a jar, my finger hurts so much.",Low
acute bronchiolitis,"My baby keeps pulling at their ears, and I suspect it’s bronchiolitis.",Emergency
magnesium deficiency,"My legs ache constantly, and now I struggle even to climb stairs.",Emergency
pharyngitis,"Every time I swallow, my throat feels like it's on fire.",Low
skin pigmentation disorder,"The warts on my fingers make me feel embarrassed in public, and I want them gone.",Medium
primary thrombocythemia,Feeling dizzy has made me hesitant to go out with friends.,Low
granuloma inguinale,Why is this knee lump not going away after all this time?,High
pneumoconiosis,I’m scared that this persistent cough is never going to go away.,High
sjogren syndrome,I never realized how much eye pain could impact my mood.,Low
atonic bladder,I just want to feel normal and not worry about my bladder all the time.,Low
gout,"Every night, the pain in my knee keeps me from getting a good night's sleep.",Medium
sporotrichosis,It’s annoying to have persistent knee pain; is sporotrichosis a possibility?,Low
female genitalia infection,I’m worried about the foul-smelling vaginal discharge; it’s just not normal.,Low
cryptorchidism,I feel frustrated; my son hasn’t grown as expected since birth.,Low
histoplasmosis,"I’ve had this annoying cough for weeks, and I can’t figure out why.",Low
diabetic peripheral neuropathy,The stiffness in my toes makes it hard to walk without limping.,Medium
insulin overdose,My mood swings have been unbearable since I took too much insulin.,Low
pituitary disorder,The pain in my eye is becoming increasingly difficult to ignore.,Low
yeast infection,Why does this yeast infection come with such annoying vaginal pain?,Medium
open wound from surgical incision,"It seems odd that I'm getting flatulence after my surgery, is that common?",Low
scoliosis,"My lower body pain seems to worsen with time, which is concerning.",Low
gastroesophageal reflux disease (gerd),The sharp chest pain hits me out of nowhere; I don't know what to do.,Emergency
injury to internal organ,"The sharp abdominal pain won’t go away, and I feel dizzy; please help me now.",Emergency
rheumatic fever,The swelling in my knee makes simple tasks feel like a struggle.,Low
gastrointestinal hemorrhage,"I can't stop feeling dizzy, and I'm scared it means something serious.",Emergency
pulmonary eosinophilia,"I thought it was just a cold, but now I can't breathe properly at all.",Emergency
cryptorchidism,"My child has noticeable swelling in the scrotum, which is concerning us.",Low
polymyalgia rheumatica,It's terrifying when I struggle to swallow my own food.,Emergency
lung contusion,"I feel weak and achy, and this shortness of breath is getting worse.",Emergency
bell palsy,Why do I have to deal with peripheral edema alongside all this other chaos?,Medium
metabolic disorder,Could my weight gain be a sign of something more serious?,Low
sensorineural hearing loss,"Whenever I have nasal congestion, my hearing seems to get even worse.",Medium
acute respiratory distress syndrome (ards),The chills and difficulty breathing have me panicking.,Emergency
cerebral edema,I can’t shake this headache; it’s been lingering for days now.,Low
ectopic pregnancy,I noticed unusual vaginal discharge but was told it’s nothing to worry about.,Medium
iridocyclitis,The pain in my eye is making it hard to focus on anything today.,Medium
depression,"Even on good days, the nagging feeling of depression creeps back in unexpectedly.",Medium
impetigo,It’s hard to focus when I'm dealing with a cough and impetigo at the same time.,Medium
pulmonic valve disease,I worry about how often I breathe heavily for no reason.,High
hepatitis due to a toxin,"I keep feeling ill, and my energy levels are lower than ever.",Medium
threatened pregnancy,"Lower abdominal pain is keeping me up at night, making me anxious about my pregnancy.",Medium
cornea infection,Why does my eye feel so swollen and painful? This can't be normal.,Medium
noninfectious gastroenteritis,"I feel like I’m retaining fluid, but I can’t eat due to nausea.",Medium
noninfectious gastroenteritis,"This gastroenteritis is a nightmare, and I just want some relief.",Medium
parasitic disease,"I'm experiencing sharp abdominal pain, but my doctor says it’s nothing serious.",Low
fungal infection of the skin,"My scalp has become so irregular in appearance, it's hard to ignore.",Medium
fracture of the neck,I’m frustrated that my neck injury is causing such persistent back pain.,Low
parkinson disease,Movement is a battle; I feel like I'm dragging my legs through mud all the time.,Medium
glucocorticoid deficiency,It’s so frustrating to deal with the constant diarrhea and feel so drained.,High
open wound of the arm,"My arm feels weak and painful, especially near the wound.",Low
persistent vomiting of unknown cause,My constant vomiting makes it hard to enjoy even the simplest meals.,Low
vitreous hemorrhage,"Lately, my vision has been diminished, and I don’t know why.",Low
cold sore,I hate how this cold sore makes my skin feel so sensitive and irritated.,Low
hyperlipidemia,"I've been feeling sharp chest pain lately, and I suspect my hyperlipidemia is to blame.",High
pain disorder affecting the neck,Neck stiffness makes it hard to sit through meetings at work.,Medium
factitious disorder,My elbow pain makes it challenging to participate in activities I love.,Low
problem during pregnancy,My constant vomiting is making it impossible to enjoy this pregnancy.,Medium
cholesteatoma,Why does it feel like I'm underwater when I try to hear?,Low
raynaud disease,"I get sharp pains in my hands, especially when it’s cold outside.",Low
stroke,"My speech became slurred, and I couldn’t communicate with anyone.",Emergency
vitamin d deficiency,I can’t handle this arm tightness much longer; it’s affecting my routine.,Low
induced abortion,I never expected such severe groin pain after choosing to terminate my pregnancy.,Medium
anemia,"Last night, I woke up dizzy and couldn’t stand without feeling faint.",Emergency
genital herpes,My suprapubic pain continues to be a constant nuisance in my life.,Low
molluscum contagiosum,The molluscum outbreak has me feeling anxious about how I look.,Medium
balanitis,"Every time I urinate, I feel a sharp pain that just won’t go away.",Medium
sjogren syndrome,It’s frustrating when my vision blurs unexpectedly during important moments.,Low
macular degeneration,"Sometimes, I experience sudden pain in my eye that just won't go away.",Medium
peyronie disease,"Every time I think about impotence, it makes me feel really anxious.",Low
teething syndrome,I never thought teething could cause such fussiness and ear discomfort.,Medium
gastroparesis,I never thought I’d live with this level of sharp abdominal pain; it’s overwhelming.,Emergency
acute bronchiolitis,"The cough is relentless, and it feels like my child can’t catch a breath.",Emergency
acute bronchospasm,"I thought I just had a cold, but now the wheezing is alarming me.",Emergency
lewy body dementia,"I never thought I would struggle with simple conversations, but here I am.",Low
food allergy,I don't understand why my nasal congestion flared up suddenly.,Medium
parathyroid adenoma,"Sometimes, I struggle with memory disturbances; it's like I can't focus anymore.",Low
intestinal obstruction,I'm scared that my constipation is leading to more serious issues with my stomach.,Medium
hemolytic anemia,I just want my energy back; this fatigue is no fun at all.,Low
dislocation of the finger,My wrist pain is getting worse since I dislocated my finger.,Low
choledocholithiasis,I’ve started to feel this weird nausea that won't subside.,Emergency
cranial nerve palsy,I find it exhausting to navigate this double vision every single day.,Medium
bladder cancer,Why isn't there more support for those of us dealing with bladder concerns?,Low
spondylitis,Side pain limits my ability to bend down or lift anything.,Medium
dislocation of the wrist,The hand pain makes me feel helpless; I can’t do anything.,Low
induced abortion,I had unbearable cramps and spasms that made it hard to function afterwards.,Medium
vaginitis,I can't remember the last time I had a pain-free intimate moment due to pain during intercourse.,Medium
otitis externa (swimmer's ear),I can’t believe how painful my ear is; it feels like a constant ache.,Medium
thoracic aortic aneurysm,"It started with fatigue, but then came the sharp pain in my chest.",Emergency
foreign body in the gastrointestinal tract,I’ve been feeling sharp stomach pain and it feels like I’m choking on something.,Emergency
fracture of the skull,Why is it so hard to stay positive when my head feels like this?,Low
intracerebral hemorrhage,I woke up vomiting and with a pounding headache; something is wrong.,Emergency
